#thise are the data exported without any corrections
token	lemma	pos	morph	Dis	treated
historia	historia	NOMcom	Case=Abl|Numb=Sing	_	historia
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	quis1	PROrel	Case=Nom|Numb=Plur|Gend=Fem	1	quae
veteris	uetus	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos	_	ueteris
Disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing	_	Disciplinae
Ecelesiasticæ	Ecelesiasticus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos	_	Ecelesiasticae
vestigia	uestigium	NOMcom	Case=Acc|Numb=Plur	_	uestigia
tũc	tuc	ADV	Case=Nom|Deg=Pos	_	tuc
adhue	adhui	ADV	MORPH=empty	_	adhue
(	(	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
si	si2	CONsub	MORPH=empty	2	si
tamẽ	tame	ADV	Numb=Sing|Deg=Pos|Person=2	_	tame
corruptioribus	corruptus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Comp	_	corruptioribus
iam	iam	ADV	Deg=Pos	_	iam
Ecclesiæ	Ecclesia	NOMpro	Case=Gen|Numb=Sing	_	Ecclesiae
tẽporibus	tepor	NOMcom	Case=Abl|Numb=Plur	_	teporibus
)	)	PUNC	MORPH=empty	_	--IGN.--
restarent	resto	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3	_	restarent
,	,	PUNC	MORPH=empty	_	--IGN.--
intelligatur	intelligo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	intelligatur
:	:	PUNC	MORPH=empty	_	--IGN.--
non	non	ADVneg	MORPH=empty	_	non
vt	ut4	CONsub	MORPH=empty	4	ut
ex	ex	PRE	MORPH=empty	_	ex
istis	iste	PROdem	Case=Abl|Numb=Plur|Gend=Com	_	istis
scriptoribus	scriptor	NOMcom	Case=Abl|Numb=Plur	_	scriptoribus
quicquam	quisquam	PROind	Case=Nom|Numb=Sing|Gend=Neut	_	quicquam
dubium	dubius	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	dubium
et	et2	CONcoo	MORPH=empty	2	et
anceps	anceps2	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	2	anceps
decidatur	decido2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	2	decidatur
.	.	PUNC	MORPH=empty	_	--IGN.--
Nam	nam	CONcoo	MORPH=empty	_	Nam
etiam	etiam	ADV	Deg=Pos	_	etiam
ex	ex	PRE	MORPH=empty	_	ex
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	1	hoc
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	ipso
perspicient	perspicio	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3	_	perspicient
omnes	omnis	PROind	Case=Nom|Numb=Plur|Gend=MascFem	_	omnes
,	,	PUNC	MORPH=empty	_	--IGN.--
quantùm	quantum1	PROrel	Case=Nom	3	quantum
posterioni	posterio	NOMcom	Case=Nom|Numb=Sing	_	posterioni
ætate	aetas	NOMcom	Case=Abl|Numb=Sing	_	aetate
Romana	Romanus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos	_	Romana
Ecelesia	Ecelesia	NOMpro	Case=Abl|Numb=Sing	_	Ecelesia
etiã	etiam	ADV	Case=Nom|Numb=Sing|Deg=Pos	_	etia
ab	ab	PRE	MORPH=empty	_	ab
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	eo
tantillos	tantillus	PROdem	Case=Acc|Numb=Plur	_	tantillos
quod	qui1	CONsub	Case=Nom|Numb=Sing|Gend=Neut	1	quod
veteris	uetus	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos	_	ueteris
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing	_	disciplinae
reliquum	reliquus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	reliquum
erat	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3	1	erat
)	)	PUNC	MORPH=empty	_	--IGN.--
discesserit	discedo1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	1	discesserit
:	:	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
in	in	PRE	MORPH=empty	_	in
quam	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem	1	quam
miseram	miser	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos	_	miseram
horribilémque	horribilis	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos	_	horribilemque
{horribilémque}	que	CON	MORPH=empty	_	horribilemque
tyrannidem	tyrannis	NOMcom	Case=Acc|Numb=Sing	_	tyrannidem
et	et2	CONcoo	MORPH=empty	2	et
confusionem	confusio	NOMcom	Case=Acc|Numb=Sing	_	confusionem
iam	iam	ADV	Deg=Pos	_	iam
,	,	PUNC	MORPH=empty	_	--IGN.--
iusto	iustus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos	_	iusto
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
iudicio	iudicium	NOMcom	Case=Abl|Numb=Sing	_	iudicio
,	,	PUNC	MORPH=empty	_	--IGN.--
inciderit	incido1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	1	inciderit
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
ab	ab	PRE	MORPH=empty	_	ab
ea	is	PROdem	Case=Abl|Numb=Sing|Gend=Fem	_	ea
nos	nos	PROper	Case=Nom|Numb=Plur	_	nos
summo	superus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Sup	_	summo
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
Optimi	Optimus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut	_	Optimi
Maximi	Maximus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup	_	Maximi
beneficio	beneficium	NOMcom	Case=Abl|Numb=Sing	_	beneficio
liberatos	libero	VER	Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	liberatos
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
lætemur	laetor	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1	_	laetemur
,	,	PUNC	MORPH=empty	_	--IGN.--
Deòque	deus	NOMcom	Case=Dat|Numb=Sing	_	Deoque
{Deòque}	que	CON	MORPH=empty	_	Deoque
ipsi	ipse	PROdem	Case=Dat|Numb=Plur|Gend=Com	_	ipsi
perpetuò	perpetuo2	ADV	Deg=Pos	2	perpetuo
gratias	gratia	NOMcom	Case=Acc|Numb=Plur	_	gratias
agamus	ago	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	_	agamus
.	.	PUNC	MORPH=empty	_	--IGN.--
ILLVSTRISSIMO	Allustriosimus	NOMpro	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Sup	_	ILLUSTRISSIMO
ET	et2	CONcoo	Case=Dat|Numb=Sing	_	ET
POTENTISSIMO	Potentius	NOMpro	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Pos	_	POTENTISSIMO
PRINCIPI	Prithipus	NOMpro	Case=Dat|Numb=Sing	_	PRINCIPI
ac	ac1	CONcoo	MORPH=empty	1	ac
domino	dominus	NOMcom	Case=Dat|Numb=Sing	_	domino
D.	Decimus	NOMpro	Case=Dat|Numb=Sing	_	D
Gulielmo	Gulielmus	NOMpro	Case=Dat|Numb=Sing	_	Gulielmo
Principi	princeps1	NOMcom	Case=Dat|Numb=Sing	1	Principi
Auracio	Auracius	NOMpro	Case=Dat|Numb=Sing	_	Auracio
Comiti	Comitius	NOMcom	Case=Dat|Numb=Sing	_	Comiti
Nassauao	Nassauaus	ADJqua	Case=Dat|Numb=Sing	_	Nassauao
etc	et2	CONcoo	Deg=Pos	2	etc
·	·	PUNC	MORPH=empty	_	--IGN.--
Christi	Christus	NOMpro	Case=Gen|Numb=Sing	_	Christi
gloriæ	gloria	NOMcom	Case=Dat|Numb=Sing	_	gloriae
assertori	assertor	NOMcom	Case=Dat|Numb=Sing	_	assertori
in	in	PRE	MORPH=empty	_	in
Hollandia	Hollandia	NOMpro	Case=Acc|Numb=Plur	_	Hollandia
et	et2	CONcoo	MORPH=empty	2	et
Zelandia	Zelandia	NOMpro	Case=Abl|Numb=Plur	_	Zelandia
fortissimo	fortis	ADJqua	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Sup	_	fortissimo
,	,	PUNC	MORPH=empty	_	--IGN.--
Gratiam	gratia	NOMcom	Case=Acc|Numb=Sing	_	Gratiam
et	et2	CONcoo	MORPH=empty	2	et
pacem	pax	NOMcom	Case=Acc|Numb=Sing	_	pacem
à	ab	PRE	MORPH=empty	_	a
Domino	dominus	NOMcom	Case=Abl|Numb=Sing	_	Domino
.	.	PUNC	MORPH=empty	_	--IGN.--
Etus	etus	NOMpro	Case=Nom|Numb=Sing	_	Etus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
illud	ille	PROdem	Case=Nom|Numb=Sing|Gend=Neut	_	illud
,	,	PUNC	MORPH=empty	_	--IGN.--
Princeps	princeps1	NOMcom	Case=Nom|Numb=Sing	1	Princeps
Illustrissime	illustris	ADV	Deg=Sup	_	Illustrissime
,	,	PUNC	MORPH=empty	_	--IGN.--
etiam	etiam	ADV	Deg=Pos	_	etiam
ab	ab	PRE	MORPH=empty	_	ab
Aristotele	Aristoteles	NOMpro	Case=Abl|Numb=Sing	_	Aristotele
vsurpatum	usurpo	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	_	usurpatum
,	,	PUNC	MORPH=empty	_	--IGN.--
Nihil	nihil	PROind	Case=Ind	_	Nihil
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
in	in	PRE	MORPH=empty	_	in
ipsa	ipse	PROdem	Case=Abl|Numb=Sing|Gend=Fem	_	ipsa
rerum	res	NOMcom	Case=Gen|Numb=Plur	_	rerum
vniuersitate	uniuersitas	NOMcom	Case=Abl|Numb=Sing	_	uniuersitate
pulchrius	pulcher	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Comp	_	pulchrius
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
.	.	PUNC	MORPH=empty	_	--IGN.--
Quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut	1	Quid
enim	enim2	CONcoo	MORPH=empty	2	enim
vel	uel2	CONcoo	MORPH=empty	2	uel
oculis	oculus	NOMcom	Case=Dat|Numb=Plur	_	oculis
iucũdũ	iucudus	NOMcom	Case=Abl|Numb=Sing	_	iucudu
,	,	PUNC	MORPH=empty	_	--IGN.--
vel	uel2	CONcoo	MORPH=empty	2	uel
menti	mens	NOMcom	Case=Dat|Numb=Sing	_	menti
etiam	etiam	ADV	Deg=Pos	_	etiam
ipsi	ipse	PROdem	Case=Dat|Numb=Sing|Gend=Com	_	ipsi
et	et2	CONcoo	MORPH=empty	2	et
animo	animus	NOMcom	Case=Dat|Numb=Sing	_	animo
hominis	homo	NOMcom	Case=Gen|Numb=Sing	_	hominis
gratum	gratus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	gratum
obuersari	obuersor	VER	Mood=Inf|Tense=Pres|Voice=Dep	_	obuersari
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	potest
,	,	PUNC	MORPH=empty	_	--IGN.--
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut	1	quod
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	sit
confusum	confusus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	2	confusum
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
nulla	nullus	PROind	Case=Abl|Numb=Sing|Gend=Fem	_	nulla
partium	pars	NOMcom	Case=Gen|Numb=Plur	_	partium
apta	aptus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos	_	apta
feparatione	feparatio	NOMcom	Case=Abl|Numb=Sing	_	feparatione
distinctum	distinctus2	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	2	distinctum
?	?	PUNC	MORPH=empty	_	--IGN.--
Certè	certe	ADV	Deg=Pos	_	Certe
quocunque	quocumque1	ADVrel	Case=Nom|Gend=MascNeut	1	quocunque
nõ	no	ADVneg	Numb=Sing	_	no
tantum	tantum2	ADV	MORPH=empty	2	tantum
ocuIos	ocuius	NOMcom	Case=Acc|Numb=Plur	_	ocuIos
,	,	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
omnes	omnis	PROind	Case=Acc|Numb=Plur|Gend=MascFem	_	omnes
animisensus	animisensus	NOMcom	Case=Acc|Numb=Sing|Gend=Masc	_	animisensus
cõuerterimus	couerto	VER	Numb=Plur|Mood=Ind|Tense=FutAnt|Voice=Act	_	couerterimus
,	,	PUNC	MORPH=empty	_	--IGN.--
si	si2	CONsub	MORPH=empty	2	si
quæ	qui1	PROind	Case=Nom|Numb=Plur|Gend=Neut	1	quae
in	in	PRE	MORPH=empty	_	in
eos	is	PROdem	Case=Acc|Numb=Plur|Gend=Masc	_	eos
incurrunt	incurro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	incurrunt
,	,	PUNC	MORPH=empty	_	--IGN.--
neque	neque	CONcoo	MORPH=empty	_	neque
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
digesta	digero	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	_	digesta
,	,	PUNC	MORPH=empty	_	--IGN.--
neque	neque	CONcoo	MORPH=empty	_	neque
apto	aptus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos	_	apto
siru	sirus	NOMcom	Numb=Sing	_	siru
inter	inter	PRE	MORPH=empty	_	inter
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
cohęrẽtia	coheretio	NOMcom	Case=Nom|Numb=Plur	_	coheretia
,	,	PUNC	MORPH=empty	_	--IGN.--
neque	neque	CONcoo	MORPH=empty	_	neque
conuenienti	conueniens	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos	_	conuenienti
loco	locus	NOMcom	Case=Abl|Numb=Sing	_	loco
et	et2	CONcoo	MORPH=empty	2	et
modo	modo1	ADV	Case=Abl	1	modo
collocata	colloco	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	_	collocata
à	ab	PRE	MORPH=empty	_	a
nobis	nos	PROper	Case=Abl|Numb=Plur	_	nobis
apparebũt	appareo	NOMcom	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	apparebut
:	:	PUNC	MORPH=empty	_	--IGN.--
ea	is	PROdem	Case=Nom|Numb=Plur|Gend=Neut	_	ea
neque	neque	CONcoo	MORPH=empty	_	neque
vrilitatem	urilitas	NOMcom	Case=Acc|Numb=Sing	_	urilitatem
,	,	PUNC	MORPH=empty	_	--IGN.--
neque	neque	CONcoo	MORPH=empty	_	neque
venustatem	uenustas	NOMcom	Case=Acc|Numb=Sing	_	uenustatem
aliquam	aliquis	PROind	Case=Acc|Numb=Sing|Gend=Fem	_	aliquam
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	habere
statim	statim	ADV	Deg=Pos	_	statim
pronuntiabimus	pronuntio	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1	_	pronuntiabimus
,	,	PUNC	MORPH=empty	_	--IGN.--
tantûmque	tantum	PROdem	Case=Acc	2	tantumque
{tantûmque}	que	CON	MORPH=empty	_	tantumque
ab	ab	PRE	MORPH=empty	_	ab
ilIis	iliae	NOMcom	Case=Abl|Numb=Plur|Gend=Com	_	ilIis
oculorum	oculus	NOMcom	Case=Gen|Numb=Plur	_	oculorum
,	,	PUNC	MORPH=empty	_	--IGN.--
animique	animus	NOMcom	Case=Gen|Numb=Sing	_	animique
{animique}	que	CON	MORPH=empty	_	animique
intuitum	intueor	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep	_	intuitum
auertemus	auerto	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1	_	auertemus
,	,	PUNC	MORPH=empty	_	--IGN.--
quantum	quantum3	ADVrel	MORPH=empty	3	quantum
ea	is	PROdem	Case=Nom|Numb=Plur|Gend=Neut	_	ea
nos	nos	PROper	Case=Acc|Numb=Plur	_	nos
ad	ad2	PRE	MORPH=empty	2	ad
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
rapiunt	rapio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	rapiunt
,	,	PUNC	MORPH=empty	_	--IGN.--
quę	que	PROrel	MORPH=empty	_	que
cõmoda	comodus	NOMcom	Case=Abl|Numb=Sing	1	comoda
,	,	PUNC	MORPH=empty	_	--IGN.--
|	|	PUNC	MORPH=empty	_	--IGN.--
propriáque	proprius	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos	_	propriaque
{propriáque}	que	CON	MORPH=empty	_	propriaque
ratione	ratio	NOMcom	Case=Abl|Numb=Sing	_	ratione
;	;	PUNC	MORPH=empty	_	--IGN.--
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
dispositione	dispositio	NOMcom	Case=Abl|Numb=Sing	_	dispositione
distinguũtur	distinguo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass	_	distinguutur
.	.	PUNC	MORPH=empty	_	--IGN.--
Hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	Hoc
in	in	PRE	MORPH=empty	_	in
Regno	regnum	NOMcom	Case=Abl|Numb=Sing	_	Regno
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
Rep	respublica	NOMcom	Case=Abl|Numb=Sing	_	Rep
.	.	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
oppidis	oppidum	NOMcom	Case=Abl|Numb=Plur	_	oppidis
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
pagis	pagus	NOMcom	Case=Abl|Numb=Plur	_	pagis
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=MascNeut	1	hoc
in	in	PRE	MORPH=empty	_	in
priuatorũ	priuatorus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut	_	priuatoru
ædibus	aedes	NOMcom	Case=Abl|Numb=Plur	_	aedibus
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
hortis	hortus	NOMcom	Case=Abl|Numb=Plur	_	hortis
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
cultis	colo2	ADJqua	Case=Abl|Numb=Plur|Gend=Com	2	cultis
sedibus	sedes	NOMcom	Case=Abl|Numb=Plur	_	sedibus
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
solitudine	solitudo	NOMcom	Case=Abl|Numb=Sing	_	solitudine
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=MascNeut	1	hoc
in	in	PRE	MORPH=empty	_	in
rebus	res	NOMcom	Case=Abl|Numb=Plur	_	rebus
que	que	PROrel	MORPH=empty	_	que
natura	natura	NOMcom	Case=Nom|Numb=Sing	_	natura
gignũtur	gigno	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	gignutur
,	,	PUNC	MORPH=empty	_	--IGN.--
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	hoc
in	in	PRE	MORPH=empty	_	in
artificijs	artificium	NOMcom	Case=Abl|Numb=Plur	_	artificiis
quę	que	PROrel	MORPH=empty	_	que
hominũ	homo	NOMcom	Case=Nom|Numb=Sing	_	hominu
industria	industria	NOMcom	Case=Nom|Numb=Sing	_	industria
efficiũtur	efficio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	efficiutur
,	,	PUNC	MORPH=empty	_	--IGN.--
verũesse	ueruesco	VER	MORPH=empty	_	ueruesse
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem	_	ipsa
rerum	res	NOMcom	Case=Gen|Numb=Plur	_	rerum
ex	ex	PRE	MORPH=empty	_	ex
perientia	perientia	NOMcom	Case=Abl|Numb=Sing	_	perientia
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
publica	publicus2	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	2	publica
mortalium	mortalis1	NOMcom	Case=Gen|Numb=Plur	1	mortalium
omnium	omnis	PROind	Case=Gen|Numb=Plur|Gend=Com	_	omnium
,	,	PUNC	MORPH=empty	_	--IGN.--
non	non	ADVneg	MORPH=empty	_	non
tantum	tantum2	ADV	Deg=Pos	2	tantum
piorum	pius	ADJqua	Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos	_	piorum
,	,	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
etiam	etiam	ADV	Deg=Pos	_	etiam
profanorum	profanus	ADJqua	Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos	_	profanorum
hominũ	homo	NOMcom	Case=Ind|Numb=Sing	_	hominu
vox	uox	NOMcom	Case=Nom|Numb=Sing	_	uox
testatur	testor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	_	testatur
:	:	PUNC	MORPH=empty	_	--IGN.--
denique	denique	ADV	Deg=Pos	_	denique
Mundus	mundus2	ADJqua	Case=Nom|Numb=Sing	1	Mundus
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc	_	ipse
,	,	PUNC	MORPH=empty	_	--IGN.--
pulcherrimũ	pulcher	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup	_	pulcherrimu
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
opus	opus1	NOMcom	Case=Nom|Numb=Sing	1	opus
,	,	PUNC	MORPH=empty	_	--IGN.--
ab	ab	PRE	MORPH=empty	_	ab
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
κόσμος	[Greek]	FOR	MORPH=empty	_	--IGN.--
nominatur	nomino	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	nominatur
.	.	PUNC	MORPH=empty	_	--IGN.--
Quò	quo1	ADVrel	MORPH=empty	1	Quo
magis	magis2	ADV	Deg=Comp	2	magis
detestanda	detestor	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	_	detestanda
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
eorum	is	PROdem	Case=Gen|Numb=Plur|Gend=MascNeut	_	eorum
sentẽtia	sentetia	NOMcom	Case=Nom|Numb=Sing	_	sentetia
,	,	PUNC	MORPH=empty	_	--IGN.--
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc	1	qui
rerum	res	NOMcom	Case=Gen|Numb=Plur	_	rerum
confusione	confusio	NOMcom	Case=Abl|Numb=Sing	_	confusione
non	non	ADVneg	MORPH=empty	_	non
tantum	tantum2	ADV	Deg=Pos	2	tantum
apud	apud	PRE	MORPH=empty	_	apud
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
delectãtur	delecto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	delectatur
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	omnia
publica	publicus2	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos	2	publica
priuatáque	priuatus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos	_	priuataque
{priuatáque}	que	CON	MORPH=empty	_	priuataque
euertere	euerto	VER	Mood=Inf|Tense=Pres|Voice=Act	_	euertere
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
perturbationem	perturbatio	NOMcom	Case=Acc|Numb=Sing	_	perturbationem
(	(	PUNC	MORPH=empty	_	--IGN.--
iusto	iustus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos	_	iusto
